Invincible-class Dreadnought Heavy Cruiser,"Schwerer Kreuzer, Rendili StarDrive, 2,011m, 8,900 Crew, 6,000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 10 Backup, 4,160 SBD, 1,900 RU, 50 MGLT","30 Medium Turbolaser Turrets, 30 Medium Ion Cannon Turrets.","x20 Quad Laser Cannons, 4 Medium Tractor Beam Projectors, 20 Assault Concussion Missile, 40 Proton Torpedo ( 8 pro Launcher )","max. 120 Sternenjäger, 36 Transport, 5 schwere Fahrzeuge (2 AT-TE, 1 HAVw A6 Juggernaut, 1 AT-OT, 1 SPHA-T), 10 Medium Fahrzeuge (4 TX-130 Saber-Tank, 3 AT-AP, 3 RX-200 Falchion), 35 Light/Support Fahrzeuge (14 AT-RT, 10 BARC Speeder, 5 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)"," 200, dient hauptsächlich in den Streitkräften planetarer Verteidigungen im Kern",600,Unten/Oben,600,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Modernisierte Version des Dreadnought Heavy Cruisers mit verdreifachter Feuerkraft, Ion-Cannons und massivem Torpedoarsenal. Reduzierte Crew (8.900 statt 23.000) durch Automatisierung. Dient hauptsächlich in Kern-Verteidigungsflotten. Nachladezeit. Pro Torpedo 8 Damage, 20 sek. Nachladezeit"
Invincible-Klasse Dreadnought Heavy Cruiser (3017 VSY),"Schwerer Kreuzer, Rendili StarDrive, 2,011m, 23,000 Crew, 6,000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 10 Backup, 2,180 SBD, 1,860 RU, 40 MGLT","12 Medium Turbolaser Turrets
"," 30 Quad Laser Cannons, 6 Medium Tractor Beam Projectors, 6 Concussion Missile Launchers ( 10 Missiles pro Launcher)
","max. 48 Sternenjäger, 24 Transport, 10 schwere Fahrzeuge (5 AT-TE, 2 HAVw A6 Juggernaut, 2 AT-OT, 1 SPHA-T), 20 Medium Fahrzeuge (9 TX-130 Saber-Tank, 6 AT-AP, 5 RX-200 Falchion), 45 Light/Support Fahrzeuge (18 AT-RT, 14 BARC Speeder, 7 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)"," 1000, dient hauptsächlich in den Streitkräften planetarer Verteidigungen
",250,Unten/Oben,250,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Originalversion des Dreadnought Heavy Cruisers — massenhaft produziert, aber veraltet und unterbewaffnet. 23.000 Crew für minimale Kampfkraft. Planeten mit diesen Schiffen als Hauptverteidigung waren leichte Beute für CIS-Flotten. Masse statt Klasse."
▸ STAR DESTROYERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Tector-class Star Destroyer," Sternenzerstörer, Kuat Drive Yards, 1,650m, 38,000 Crew, 2,000 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 12 Backup, 4,800 SBD, 3,050 RU, 60 MGLT"," 10 Twin Heavy Turbolaser Turrets, 2 Twin Heavy Ion Cannon Turrets, 60 Taim & Bak XX-9 Heavy Turbolaser Batteries, 60 Borstel NK-7 Medium Ion Cannons"," 6 Triple Medium Turbolaser Turrets, 40 Point Defense Cannons, 10 Phylon Q7 Heavy Tractor Beam Projectors","Kein Hangar, nur Andockmöglichkeiten + privater Hangar für das Shuttle des Kapitäns","4, (...)",900,Front/Oberseite,900,"Reiner Linienkämpfer ohne Hangar — der gesamte Innenraum ist Reaktoren, Munition und Panzerung. Absurde Waffendichte für 1.650m mit 80 schweren Turbolaser-Einheiten. Die 10 Heavy Tractor Beams halten Ziele in der Kill-Zone. Kann Schiffe doppelt seiner Größe beschäftigen, braucht aber Jägereskorte."
Venator-class Star Destroyer," Sternenzerstörer, Kuat Drive Yards, 1,137m, 7,400 Crew, 2,000 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 12 Backup, 3,250 SBD, 1,600 RU, 60 MGLT"," 8 DBY-827 Twin Heavy Turbolaser Turrets, 2 Broadside Twin Medium Turbolaser Cannons"," 16 AV-7 Deck Guns, 64 Point Defense Cannons, 6 Medium Tractor Beam Projectors, 4 Heavy Protontorpedo Launcher ( 8 Torpedo pro Launcher)","max. 420 Sternenjäger, 80 Transport, 20 schwere Fahrzeuge (10 AT-TE, 4 HAVw A6 Juggernaut, 4 AT-OT, 2 SPHA-T), 20 Medium Fahrzeuge (9 TX-130 Saber-Tank, 6 AT-AP, 5 RX-200 Falchion), 40 Light/Support Fahrzeuge (16 AT-RT, 12 BARC Speeder, 6 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)"," 2250, (...)",600,Front/Oberseite,300,"Pro schwerer Protontorpedo 15 Damage, Nachladezeit 30 sek. | Das Rückgrat der Republik-Flotte. Der Venator vereint massive Jägerkapazität (420 Sternenjäger) mit solider Schiffsbewaffnung. Vielseitig einsetzbar als Träger, Eskortschiff und Linienkämpfer. Die DBY-827 Turbolaser sind auf kurze Distanz verheerend. Pro Torpedo 8 Damage, 20 sek Nachladezeit"
,,,,,,,,,
,,,,,,,,,
▸ HEAVY CRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Victory I-class Star Destroyer,"Sternenzerstörer, Kuat Drive Yards/Rendili StarDrive, 900m, 5,200 Crew, 2,040 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 12 Backup, 3,200 SBD, 1,520 RU, 40 MGLT",10 Quad Medium Turbolaser Turrets,"40 Medium Turbolaser Batteries, 10 Medium Tractor Beam Projectors, 80 Concussion Missile Launcher ( 10 pro Launcher )","max. 24 Sternenjäger, 12 Transport, 15 schwere Fahrzeuge (8 AT-TE, 3 HAVw A6 Juggernaut, 3 AT-OT, 1 SPHA-T), 15 Medium Fahrzeuge (7 TX-130 Saber-Tank, 4 AT-AP, 4 RX-200 Falchion), 25 Light/Support Fahrzeuge (10 AT-RT, 8 BARC Speeder, 4 UT-AT, 2 Infantry Support Platform, 1 Freeco Speeder)","3500, (..)",500,Front/Oberseite,"700  (Pro Launcher 10, Nachladezeit bei einem Aufschlagsraketenwerfer 40 sek )","Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | In Zusammenarbeit mit Rendili StarDrive baute Kuat diese günstigen Schiffe seit über einem Jahr. Er ist wesentlich leichter, billiger und schneller zu bauen als ein Venator. Victorys sind häufig verteilt in Sektor- Patroullien und planetaren (Verteidigungs-) Flotten. Übernehmen häufig aber auch Frontlinien-Jobs. Nachladezeit"
Acclamator II-class Assault Ship,"Kreuzer, Rothana Heavy Engineering, 752m, 20,141 Crew, 3,200 Passagiere, Klasse 0.6 Hyperraumantrieb, Klasse 8 Backup, 2,220 SBD, 1,100 RU, 60 MGLT",24 Quad Medium Turbolaser Turrets,2 schwere Protontorpedo Launcher ( 20 Torpedos pro Launcher ),"max. 20 schwere Fahrzeuge (10 AT-TE, 4 HAVw A6 Juggernaut, 4 AT-OT, 2 SPHA-T), 25 Medium Fahrzeuge (11 TX-130 Saber-Tank, 8 AT-AP, 6 RX-200 Falchion), 45 Light/Support Fahrzeuge (18 AT-RT, 14 BARC Speeder, 7 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)","500, (...)",400,Front/Oberseite,400,"Pro schwerer Protontorpedo 15 Damage, Nachladezeit 30 sek. | Truppentransporter mit Zähnen — 24 Quad Medium TL sind für 752m solide, aber der Acclamator II gehört eskortiert, nicht in die Frontlinie. 90 Bodenfahrzeuge zeigen seinen wahren Zweck: Truppen auf den Boden bringen."
Acclamator I-class Carrier Ship,"Träger, Rothana Heavy Engineering, 752m, 8,600 Crew, 2,000 Passagiere, Klasse 0.6 Hyperraumantrieb, Klasse 8 Backup, 2,040 SBD, 1,100 RU, 60 MGLT",12 Quad Medium Turbolaser,4 Assault Concussion Missile Launcher ( 6 pro Launcher ),"max. 156 Sternenjäger, 36 Gunship/Dropships","800, (...)",200,Front/Oberseite,200,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. | Trägervariante des Acclamator mit 156 Sternenjägern — entstanden aus dem Bedarf an mehr Jägerkapazität ohne genug Venatoren. Viele sind umgerüstete Mark I-Hüllen statt Neubauten. Nachladezeit"
Acclamator I-class Assault Ship,"Träger, Rothana Heavy Engineering, 752m, 12,400 Crew, 16,000 Passagiere, Klasse 0.6 Hyperraumantrieb, Klasse 8 Backup, 2,040 SBD, 1,100 RU, 60 MGLT", 24 Quad Medium Turbolaser Turrets,"24 Anti-Starfighter Laser Cannons, 4 Assault Concussion Missile Launchers (6 Missiles pro Launcher)","max. 50 schwere Fahrzeuge (25 AT-TE, 10 HAVw A6 Juggernaut, 10 AT-OT, 5 SPHA-T), 80 Medium Fahrzeuge (36 TX-130 Saber-Tank, 24 AT-AP, 20 RX-200 Falchion), 240 Light/Support Fahrzeuge (96 AT-RT, 72 BARC Speeder, 36 UT-AT, 24 Infantry Support Platform, 12 Freeco Speeder)","2,000 (...)",300,Front/Oberseite,300,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. | Das erste Schiff der Klonarmee — Geonosis und alles danach. Standardtransporter der GAR mit Kapazität für 16.000 Truppen und massivem Fahrzeughangar. Drei Jahre Krieg haben viele abgenutzt."
Modernized Dreadnought-class Heavy Cruiser,"Schwerer Kreuzer, Rendili StarDrive, 600m, 4,220 Crew, 3,000 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 8 Backup, 1,920 SBD, 1,056 RU, 60 MGLT","10x Medium Turbolaser Batteries, 20 Quad Light Turbolaser Cannons",20 Heavy Laser Cannons,max. 12 Sternenjäger,"1,500 (...)",350,Front/Gleiche Ebene,350,"Modernisierter Dreadnought mit verbesserter Feuerkraft und auf ein Viertel reduzierter Crew. Die Quad Light Turbolaser geben gutes Flächenfeuer, während die Medium Batteries den Punch liefern. Solider Allrounder für Sektorverteidigung."
Dreadnought-class (Anti-Sternenjägerversion),"Schwerer Kreuzer, Rendili StarDrive, 600m, 4,220 Crew, 3,000 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 8 Backup, 1,920 SBD, 1,056 RU, 60 MGLT","6 Dual Heavy Turbolaser Turrets, 2 Dual Heavy Ion Cannon Turrets, 16 Dual Heavy Laser Cannons","16 Dual Point-Defense Ion Cannons, 48 Point-Defense Cannons",max. 12 Sternenjäger,"800, (...)",250,Front/Gleiche Ebene,250,"Spezialisierter Flak-Refit des Dreadnought, entstanden als Antwort auf CIS-Drohnenschwärme. Dual Heavy Turbolaser und Ion Turrets für Kapitalschiffkampf, massive Point-Defense für Jägerabwehr. Wird immer im Verbund mit anderen Schiffen eingesetzt."
Dreadnought-class Heavy Cruiser ,"Schwerer Kreuzer, Rendili StarDrive, 600m, 16,180 Crew, 3,000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 1,920 SBD, 1,056 RU, 20 MGLT","10 Medium Turbolaser Batteries, 20 Quad Light Turbolaser Cannons",20 Heavy Laser Cannons,max. 12 Sternenjäger,"5,000, (...)",300,Front/Gleiche Ebene,300,"Uraltes Pre-Klonkriege-Arbeitstier. Überall in der Galaxis verbreitet, aber mit 16.180 Crew personalintensiv und mit 20 MGLT extrem langsam. Der Toyota Corolla der Galaxis — nichts Glamouröses, aber allgegenwärtig."
,,,,,,,,,
▸ CRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Thranta-class War Cruiser,"Kreuzer, Royal Alderaanian Engineering, 350m, 150 Crew, 200 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 10 Backup, 800 SBD, 300 RU, 75 MGLT",5 Heavy Turbolasers,19 Laser Cannons,max. 12 Sternenjäger,"200, (...)",125,Front/Oberseite,125,"Alderaanischer Raider — schnell (75 MGLT), minimale Crew (150), aber schwache Sekundärbewaffnung (nur Laser Cannons). Hit-and-Run-Schiff, das sich seine Ziele aussucht und allem ausweicht, was zu groß ist. Prestige-Schiff, kein Arbeitstier."
Pelta-class Command Cruiser,"Kreuzer, Kuat Drive Yards, 350m, 1,500 Crew, 200 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 720 SBD, 280 RU, 80 MGLT","4 Heavy Turbolasers, 4 Heavy Ion Cannons, 8 Medium Turbolasers","10 Pintle-Mounted Medium Turbolasers, 8 Point Defense Laser Cannons Batteries, 2 Tractor Beams","max. 12 Sternenjäger, 4 Transport","2,750, (...)",190,Front/Oberseite,190,"Allrounder-Kreuzer mit ausgewogener Bewaffnung: Heavy TL, Heavy Ions und Medium TL decken alle Rollen ab. Solides Arbeitstier für Eskorte, Patrouille und leichte Gefechte. Die häufigste Pelta-Kampfvariante."
,,,,,,,,,
,,,,,,,,,
▸ FRIGATES,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Carrack-class Light Cruiser,"Kreuzer, Damorian Manufacturing, 350m, 500 Crew, 142 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 12 Backup, 880 SBD, 480 RU, 80 MGLT","10 Heavy Turbolasers, 20 Laser Cannon Batteries",5 Tractor Beams,max. 4 Sternenjäger,"2,250, (...)",140,Front/Oberseite,140,"Werden häufig als Patrouillen, Konvoi-Eskorten, Aufklärer und Anti-Piraterie Schiffe verwendet. Die andere Hälfte wird von Sektormilizen und lokalen Verteidigungsflotten verwendet. Der Carrack ist billig genug, dass sich auch kleinere Welten sich ihn leisten können. "
Centax-class Heavy Frigate,"Schwere Fregatte, Slius Van Shipyards, 330m, 450 Crew, 100 Passagiere, Klasse 1 Hyperraumantrieb, Klasse 10 Backup, 850 SBD, 425 RU, 80 MGLT","4 Medium Turbolasers, 2 Quad Laser Cannons","6 Point-Defense Cannons, 2 Medium Tractor Beam Projectors, 1 MQ-1 Torpedo Launch System, 4 Heavy Proton Torpedo Launcher per System ( 18 Torpedo pro Launcher ), 8 Proton Torpedo Launchers per System ( 18 Torpedos pro Launcher ) ",/,"600, (...)",55,Front/Oberseite,55,"Pro schwerer Protontorpedo 15 Damage, Nachladezeit 30 sek. Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Wolf im Schafspelz — nur 4 Medium TL konventionell, aber 216 Torpedos auf einer 330m-Fregatte. Reines Torpedo-Boot: Alpha-Strike aus dem Nichts, danach fast zahnlos. Wird in Staffeln von 3–5 Stück eingesetzt."
Arquitens-class Light Cruiser,"Kreuzer, Kuat Drive Yards, 325m, 100 Crew, 100 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 800 SBD, 420 RU, 70 MGLT",4 Dual Turbolaser Turrets,"2 Quad Laser Cannons, 2 Concussion Missile Tubes ( 15 Missiles pro Tube)","max. 3 Sternenjäger, 2 Shuttles","4,467 (...)",65,Front/Oberseite,65,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Standard-Patrouillen- und Eskortschiff — billig, 100 Crew, überall einsetzbar. Gerade genug Bewaffnung um Piraten und Leichtschiffe zu verjagen. Nie allein in echten Kampf."
Arquitens-class Light Anti-Fighter Cruiser,"Kreuzer, Kuat Drive Yards, 325m, 100 Crew, 100 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 800 SBD, 420 RU, 70 MGLT",4 Quad Heavy Laser Cannons,"2 Dual Point-Defense Ion Cannons, 6 Dual Laser Cannons, 12 Point-Defense Cannons, 2 Concussion Missile Tubes ( 15 pro Tube )","max. 3 Sternenjäger, 2 Shuttles","1,340, (...)",40,Front/Oberseite,40,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Flak-Variante ohne einen einzigen Turbolaser — reine Anti-Jäger-Plattform. Baut eine Flak-Blase auf, die Vulture Droids und Hyena Bomber zerreißt. Braucht immer ein Schiff daneben, das den Kapitalschiffkampf führt."
EF-76 Nebulon B-class Escort Frigate,"Eskortfregatte, Kuat Drive Yards, 300m, 864 Crew, 75 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 960 SBD, 448 RU, 40 MGLT",12 Medium Turbolaser Turrets,"12 Light Laser Cannons, 2 Heavy Tractor Beams, 2 Concussion Missile Tubes (je 15 Missiles)","max. 24 Sternenjäger, 6 Shuttles","2,873, (...)",100,Front/Breitseite,100,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Eskortfregatte mit 24 Jägern — ein vollständiges Geschwader auf einer Fregatte. 960 SBD und 448 RU sind die besten Defensivwerte unter 300m. Schwachstelle: der dünne Hals, nach achtern fast blind."
Pelta-class Strike Frigate,"Strike Frigate, Kuat Drive Yards, 300m, 1.200 Crew, 250 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 680 SBD, 300 RU, 80 MGLT"," 2 Heavy Turbolaser Cannons, 2 Heavy Ion Cannons, 12 Medium Turbolasers"," 20 Pintle-Mounted Medium Turbolasers, 8 Point-Defense Laser Cannon Batteries, 4 Tractor Beams",/,"875, (...)",170,Front/Breitseite,170,"Offensivste Pelta-Variante mit doppelter Medium-Turbolaser-Masse (32 Stück) auf Kosten der Heavy Weapons. Gegen Fregatten und Leichtschiffe effektiver als der Cruiser, gegen Sternenzerstörer fehlt der Punch."
"Pelta-class Frigate
"," Fregatte, Kuat Drive Yards, 282m, 900 Crew, 1.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 680 SBD, 300 RU, 80 MGLT"," 4 Medium Turbolasers, 6 Light Turbolaser Batteries","4 Point-Defense Light Laser Cannon Batteries, 4 Tractor Beams",/,"1,964, (...)",55,Front/Oberseite,55,"Leichter Transporter mit Minimalwaffen — 4 Medium TL und 6 Light TL sind reiner Selbstschutz. 1.000 Passagiere zeigen den wahren Zweck: Truppen und Material bewegen. Gehört in den Konvoi, nicht an die Front."
Pelta-class Assault Ship,"Assault Ship, Kuat Drive Yards, 282m, 800 Crew, 500 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 680 SBD, 300 RU, 80 MGLT",4 Light Turbolaser Batteries,"4 Point-Defense Light Laser Cannon Batteries, 2 Tractor Beams, 6 Heavy Proton Torpedo Tubes (je 18 Torpedoes), 12 Proton Torpedo Tubes (je 18 Torpedoes)",/,"475, (...)",30,Front/Oberseite,30,"Pro schwerer Protontorpedo 15 Damage, Nachladezeit 30 sek. Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Reines Torpedo-Boot der Pelta-Familie: 108 Heavy + 216 normale Torpedos auf 282m — massiver Alpha-Strike. Konventionell fast wehrlos (4 Light TL). Nach dem Torpedo-Vorrat sollte sie sich zurückziehen."
Pelta-class Medical Frigate,"Medical Frigate, Kuat Drive Yards, 282m, 600 Crew, 1.500 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 680 SBD, 300 RU, 80 MGLT",2 Light Turbolaser Batteries,"3 Point-Defense Light Laser Cannon Batteries, 3 Tractor Beams",/,"1,842, (...)",15,Front/Oberseite,15,"Lazarettschiff mit 1.500 Patientenkapazität. Die minimale Bewaffnung (2 Light TL) ist reine Notwehr. Die Tractor Beams fangen Rettungskapseln ein. Zweit­häufigste Pelta-Variante, weil drei Jahre Krieg endlose Verwundete bedeuten."
Pelta-class Transport Ship," Transporter, Kuat Drive Yards, 282m, 500 Crew, 2.500 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 16 Backup, 680 SBD, 300 RU, 80 MGLT",2 Light Turbolaser Batteries,"2 Point-Defense Light Laser Cannon Batteries, 3 Tractor Beams","max. 100 Light Fahrzeuge (40 AT-RT, 30 BARC Speeder, 15 UT-AT, 10 Infantry Support Platform, 5 Freeco Speeder)","2,673, (...)",10,Front/Oberseite,10,"Reiner Transporter — 2.500 Passagiere und 100 Fahrzeuge auf 282m. Schwächste Bewaffnung aller Pelta-Varianten. Gehört in eskortierte Konvois. Das unglamouröseste, aber wichtigste Schiff der Republik-Logistik."
