Providence-class Carrier,"Träger, Rendili StarDrive / Free Dac VEC / Pammant Docks, 1.088m, 20.500 Crew, 60.000 Passagiere + 200.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 2.600 SBD, 1.450 RU, 75 MGLT","6 Quad Medium Turbolaser Turrets, 36 Medium Flak Cannons","50 Dual Point-Defense Cannons, 6 Medium Tractor Beam Projectors","max. 480 Sternenjäger, 10 C-9979 Landungsboote, 60 Transport, 20 schwere Fahrzeuge (10 MTT, 6 NR-N99 Persuader, 4 Octuptarra Magna Tri-Droid), 20 Medium Fahrzeuge (10 AAT, 6 IG-227 Hailfire, 4 OG-9 Homing Spider Droid), 40 Light/Support Fahrzeuge (16 STAP, 12 DSD1 Dwarf Spider Droid, 8 LM-432 Crab Droid, 4 PK Worker Droid)","250, (...)",200,Breitseite,200,"Trägervariante des Providence-Designs — 480 Sternenjäger, dafür deutlich weniger Feuerkraft als die Destroyer-Version. 6 Quad Medium TL + 36 Flak ist genug für Selbstverteidigung, aber nicht für Linienkampf. Wird immer mit Escortschiffen eingesetzt, die den Feuerkampf übernehmen."
Providence-class Destroyer,"Zerstörer, Rendili StarDrive / Free Dac VEC / Pammant Docks, 1.088m, 22.350 Crew, 48.250 Passagiere + 1.500.000 deaktivierte Kampfdroiden, Klasse 1.5 Hyperraumantrieb, Klasse 12 Backup, 3.400 SBD, 1.450 RU, 70 MGLT","4 Quad Heavy Turbolaser Turrets, 10 Quad Medium Turbolaser Turrets, 12 J-1 Multi-Purpose Broadside Cannons","12 Medium Flak Guns, 12 Point-Defense Ion Cannons, 34 Dual Point-Defense Cannons, 8 Medium Tractor Beam Projectors, 102 Proton Torpedo Launcher (10 Torpedos pro Launcher)","max. 240 Sternenjäger, 4 C-9979 Landungsboote, 36 Transport, 10 schwere Fahrzeuge (5 MTT, 3 NR-N99 Persuader, 2 Octuptarra Magna Tri-Droid), 20 Medium Fahrzeuge (10 AAT, 6 IG-227 Hailfire, 4 OG-9 Homing Spider Droid), 30 Light/Support Fahrzeuge (12 STAP, 9 DSD1 Dwarf Spider Droid, 6 LM-432 Crab Droid, 3 PK Worker Droid)","400, (...)",600,Breitseite,600,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Das bekannteste CIS-Flaggschiff — General Grievous' Invisible Hand gehört zu dieser Klasse. 16 Heavy TL + 40 Medium TL + 12 Broadside Cannons gibt ausgewogene Feuerkraft. Trägt 1,5 Millionen deaktivierte Kampfdroiden — eine ganze Armee pro Schiff. Klasse 1.5 Hyperantrieb macht sie zu den schnellsten Großkampfschiffen der CIS."
Bulwark Mark I-class Destroyer,"Zerstörer, TransGalMeg Industries / Techno Union, 1.000m, 5.400 Crew, 1.000 Passagiere + 2.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 3.250 SBD, 1.600 RU, 45 MGLT","50 Medium Turbolasers, 20 Medium Ion Cannons",5 Medium Tractor Beam Projectors,max. 24 Sternenjäger,"300, (...)",350,Front/Breitseite,350,"Älterer Vorgänger des Bulwark Mark II. 50 Medium TL + 20 Medium Ion ist solide, aber keine Heavy Weapons und keine Torpedos. Langsamer (45 MGLT) und schlechter bewaffnet als sein Nachfolger, aber zuverlässig und in größeren Stückzahlen verfügbar."
Sabaoth Destroyer,"Zerstörer, unbekannter Hersteller, 600m, 250 Crew, 3.000 Passagiere, Klasse 3 Hyperraumantrieb, Klasse 18 Backup, 1.800 SBD, 780 RU, 75 MGLT","6 Capital Ship Turrets, 2 Light Turbolaser Batteries","11 Heavy Anti-Starfighter Laser Turrets, 3 Dual Heavy Point-Defense Cannons","max. 12 Sternenjäger, 12 Transport","35, (...)",250,Front/Oberseite,250,"Obskures Design mit unbekanntem Hersteller — vermutlich eine ältere Söldnerklasse, die von der CIS übernommen wurde. 6 Capital Ship Turrets sind solide, aber der Rest ist Anti-Jäger-fokussiert. Schnell (75 MGLT, Klasse 3 Hyperantrieb) — eher Aufklärer und Raider als Linienkämpfer."
▸ HEAVY CRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
DH-Omni-class Support Ship,"Unterstützungsschiff, Hoersch-Kessel Drive Inc., 908m, 12.000 Crew, 8.000 Passagiere + 100.000 deaktivierte Kampfdroiden, Klasse 4 Hyperraumantrieb, Klasse 16 Backup, 1.200 SBD, 680 RU, 45 MGLT",/,150 Dual Point-Defense Cannons,"max. 280 Sternenjäger, 10 C-9979 Landungsboote, 40 Transport, 60 schwere Fahrzeuge (30 MTT, 18 NR-N99 Persuader, 12 Octuptarra Magna Tri-Droid), 80 Medium Fahrzeuge (40 AAT, 24 IG-227 Hailfire, 16 OG-9 Homing Spider Droid), 100 Light/Support Fahrzeuge (40 STAP, 30 DSD1 Dwarf Spider Droid, 20 LM-432 Crab Droid, 10 PK Worker Droid)",150,25,Allseitig,25,"Reines Unterstützungsschiff ohne Primärbewaffnung. 150 Dual Point-Defense Cannons sind reine Selbstverteidigung. Trägt massive Mengen an Truppen, Fahrzeugen und Sternenjägern für Invasionen. Muss eskortiert werden."
Munificent C3-class Star Frigate,"Star Frigate, Hoersch-Kessel Drive Inc. / Gwori Rev. Industries, 825m, 1.100 Crew, 850 Truppen + 50.000 deaktivierte Kampfdroiden, Klasse 1 Hyperraumantrieb, Klasse 10 Backup, 1.400 SBD, 675 RU, 75 MGLT","2 Heavy Prow Turbolasers, 2 Heavy Prow Ion Cannons","26 Twin Light Turbolaser Cannons, 20 Medium Ion Cannon Turrets, 40 Light Laser Cannons, 8 Flak Guns, 4 Hyperwave Jamming Systems","max. 36 Sternenjäger, 8 Shuttles",1.500,325,Front/Unterseite,325,"Kommandoschiff-Variante des Munificent mit 4 Hyperwave Jamming Systems — kann feindliche Kommunikation und Sensoren stören. Die Heavy Prow-Waffen sind der Hauptpunch nach vorne, die 52 Light TL geben Breitseiten-Unterstützung. Im Verbund extrem wertvoll als Störer."
Munificent-class Star Frigate,"Star Frigate, Hoersch-Kessel Drive Inc. / Gwori Rev. Industries, 825m, 1.300 Crew, 850 Truppen + 150.000 deaktivierte Kampfdroiden, Klasse 1 Hyperraumantrieb, Klasse 10 Backup, 1.480 SBD, 750 RU, 75 MGLT","2 Heavy Prow Turbolasers, 2 Heavy Prow Ion Cannons","26 Twin Light Turbolaser Cannons, 20 Light Turbolaser Turrets, 38 Light Point-Defense Laser Cannons, 8 Flak Guns, 1 Hyperwave Jammer",max. 4 Shuttles,2.000,400,Front/Unterseite,400,Die bekannteste Munificent-Variante — auch als 'Banking Clan Frigate' bekannt. Stärkste konventionelle Bewaffnung der Munificent-Familie: 52 Twin Light TL + 20 Light TL Turrets + 4 Heavy Prow-Waffen. Das Rückgrat der Banking Clan-Flotte und häufige Sicht in CIS-Verbänden. Ikonisches Design mit den zwei charakteristischen Krallen.
Dreadnought-class Heavy Cruiser,"Schwerer Kreuzer, Rendili StarDrive, 600m, 16.180 Crew, 3.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 1.920 SBD, 1.056 RU, 13 MGLT","10 Medium Turbolaser Batteries, 20 Quad Light Turbolaser Cannons",20 Heavy Laser Cannons,max. 12 Sternenjäger,2.500,300,Front/Gleiche Ebene,300,"Uralter Dreadnought im Originalzustand — langsam (13 MGLT) und personalintensiv (16.180 Crew). Die CIS nutzt diese Schiffe als Sektor-Verteidigungsflotten und für Milizeinsätze. Gleiche Rolle wie bei der Republik: Masse statt Klasse, Lückenfüller."
Fantail-class Destroyer,"Zerstörer, Corporate Alliance Engineering, 600m, 420 Crew, 2.000 Passagiere + 10.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 2.000 SBD, 800 RU, 70 MGLT","40 Medium Turbolaser Cannons, 15 Medium Ion Cannons","40 Point-Defense Cannons, 4 Medium Tractor Beam Projectors","max. 72 Sternenjäger, 12 Transport",400,350,Front/Breitseite,350,Corporate Alliance-Design mit fokussierter Medium-Bewaffnung. 40 Medium TL + 15 Medium Ion geben ordentliche Feuerkraft für einen 600m-Zerstörer. Nur 420 organische Crew — hochautomatisiert. Solide Jägerkapazität mit 72 Sternenjägern.
Fantail-class Ion Destroyer,"Ion-Zerstörer, Corporate Alliance Engineering, 600m, 420 Crew, 2.000 Passagiere + 10.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 2.000 SBD, 800 RU, 70 MGLT","15 Heavy Ion Cannons, 40 Medium Ion Cannons","10 Point-Defense Ion Cannons, 40 Point-Defense Cannons, 4 Medium Tractor Beam Projectors, 8 Concussion Missile Launcher (15 Missiles pro Launcher)","max. 72 Sternenjäger, 12 Transport",300,300,Front/Breitseite,300,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Ion-spezialisierte Fantail-Variante — 15 Heavy Ions + 40 Medium Ions machen das Schiff zum dedizierten Schildkiller. Null Turbolaser, daher allein gegen ungeschützte Ziele zahnlos. Funktioniert perfekt im Verbund mit Fantail Destroyers: Ion-Variante reißt Schilde runter, normale Variante zerlegt die Rumpfpanzerung."
Auxilia-class Pursuit Destroyer,"Verfolgungs-Zerstörer, Free Dac Volunteer Engineer Corps, 500m, 90 Crew, 20 Passagiere + 500 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 1.000 SBD, 400 RU, 85 MGLT","10 Dual Medium Turbolaser Turrets, 12 Medium Ion Cannons","10 Medium Turbolasers, 20 Point-Defense Cannons",/,600,250,Front/Oberseite,250,"Schnellstes CIS-Schiff seiner Klasse (85 MGLT) — die Rolle ist Verfolgung und Aufbringen feindlicher Schiffe. 20 MTL-Läufe + 12 Medium Ions für Schildbekämpfung. Minimale Crew (90) durch extreme Automatisierung. Wird in Rudeln eingesetzt, die sich auf einzelne Ziele stürzen."
Auxilia-class Anti-Fighter Destroyer,"Anti-Jäger Zerstörer, Free Dac Volunteer Engineer Corps, 500m, 90 Crew, 20 Passagiere + 500 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 1.000 SBD, 400 RU, 85 MGLT",16 Medium Turbolasers,"12 Heavy Laser Cannons, 20 Laser Cannons, 12 Point-Defense Ion Cannons, 40 Point-Defense Cannons, 8 Concussion Missile Launcher (15 Missiles pro Launcher)",/,400,175,Allseitig,175,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Flak-Variante der Auxilia — 16 Medium TL sind der einzige Kapitalschiff-Biss, der Rest ist massive Jägerabwehr. 12 Heavy Laser + 20 Laser + 12 PD Ion + 40 PD baut eine dichte Flak-Blase. In Verbindung mit Pursuit Destroyern hocheffektiv gegen feindliche Verbände."
▸ CRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Separatist Cruiser,"Kreuzer, Geonosian Foundries, 800m, 1.320 Crew, 2.000 Passagiere + 20.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 1.650 SBD, 1.000 RU, 50 MGLT",15 Dual Medium Turbolaser Turrets,20 Laser Cannons,"max. 36 Sternenjäger, 12 Transport",700,225,Front/Oberseite,225,Geonosianisches Design — entsprechend eigenwillig in der Formgebung. 30 Medium TL-Läufe für 800m ist mittelmäßige Dichte. Trägt 20.000 Kampfdroiden plus 36 Sternenjäger. Taucht häufig in Geonosis-nahen Sektoren und bei Dooku-verbündeten Welten auf.
CoreShip,"CoreShip, Hoersch-Kessel Drive Inc., 696m, 60 organische + 3.000 Droiden-Crew + 200.000 Droiden-Wartungspersonal, 60.000 Passagiere + 5.000 deaktivierte Kampfdroiden, Klasse 3 Hyperraumantrieb, Klasse 18 Backup, 1.050 SBD, 100 RU, 30 MGLT","3 Medium Turbolasers, 48 Assault Laser Cannons",21 Quad Point-Defense Cannons,/,200 (Ohne Ring) ,125,Allseitig,125,"Kugelförmiges Modul-Design — dies ist das abnehmbare Kern-Segment, das aus einem Lucrehulk ausgekoppelt werden kann. Extrem niedrige Rumpfpanzerung (nur 100 RU!) und langsam (30 MGLT). 48 Assault Laser Cannons sind die einzige nennenswerte Bewaffnung. Hauptsächlich als schwimmendes Depot und Planetares Landungsmodul eingesetzt."
Munifex-class Light Cruiser,"Leichter Kreuzer, Kuat Drive Yards, 300m, 660 Crew, 200 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 750 SBD, 260 RU, 70 MGLT","28 Medium Turbolasers, 12 Medium Ion Cannons",/,max. 12 Sternenjäger,2.000,150,Front/Oberseite,150,"Alter KDY-Kreuzer aus der Zeit vor den Klonkriegen — viele wurden an CIS-Welten verkauft. 28 Medium TL + 12 Medium Ion ist solide Bewaffnung, aber ohne Heavy Weapons oder Point-Defense. Fehlende Jägerabwehr ist die größte Schwäche. Wird von CIS-Planeten als Systemverteidigung genutzt."
Captor-class Carrier,"Träger, Kuat Drive Yards, 300m, 620 Crew, 1.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 700 SBD, 220 RU, 80 MGLT",10 Medium Turbolaser Batteries,/,max. 180 Sternenjäger,700,75,Breitseite,75,180 Sternenjäger auf 300m ist absurde Jäger-Dichte — entsprechend minimal die Bewaffnung. 10 Medium TL Batteries sind reine Selbstverteidigung. Schnelles Schiff (80 MGLT) für Hit-and-Run-Jägerdeployments.
Captor-class Heavy Munitions Cruiser,"Schwerer Munitionskreuzer, Kuat Drive Yards, 300m, 120 Crew, 3.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 700 SBD, 220 RU, 85 MGLT",10 Medium Turbolaser Batteries,/,"max. 30 Sternenjäger, 3 C-9979 Landungsboote, 5 schwere Fahrzeuge (2 MTT, 2 NR-N99 Persuader, 1 Octuptarra Magna Tri-Droid), 10 Medium Fahrzeuge (5 AAT, 3 IG-227 Hailfire, 2 OG-9 Homing Spider Droid), 15 Light/Support Fahrzeuge (6 STAP, 4 DSD1 Dwarf Spider Droid, 3 LM-432 Crab Droid, 2 PK Worker Droid)",400,75,Breitseite,75,"Varianten-Refit des Captor mit reduziertem Hangar, dafür Munition und Fahrzeuge. Noch schneller (85 MGLT) — ein Versorgungsschiff mit ordentlichem Tempo. Trägt 3 C-9979 Landungsboote für Bodenoperationen. Immer eskortiert, nie allein unterwegs."
Diamond-class Cruiser,"Kreuzer, Commerce Guild, 200m, 148 Crew, 45 Passagiere, Klasse 0.75 Hyperraumantrieb, Klasse 8 Backup, 500 SBD, 180 RU, 80 MGLT",2 Dual Laser Cannons,/,"max. 600 OG-9 Homing Spider Droids, 2.400 DSD1 Dwarf Spider Droids",600,10,Front,10,"Commerce Guild-Design zum Transport der Spider Droids. Nur 2 Dual Laser Cannons — dieses Schiff ist kein Kämpfer, sondern ein Spinnenkäfig. 600 Homing Spider Droids plus 2.400 Dwarf Spider Droids ergeben eine ganze mechanisierte Armee. Extrem schneller Hyperantrieb (Klasse 0.75) für strategische Mobilität."
▸ FRIGATES,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Wavecrest-class Frigate,"Fregatte, Givin of Yag'Dhul, 300m, 65 Crew, 30 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 600 SBD, 250 RU, 80 MGLT",12 Dual Turbolaser Cannons,"24 Laser Cannons, 6 Proton Torpedo Tubes (18 Torpedos pro Tube)","max. 12 Sternenjäger, 3 Shuttles","400, (...)",115,Breitseite,115,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Givin-Design von Yag'Dhul — 24 Turbolaser-Läufe für 300m ist ordentliche Dichte. Minimal-Crew (nur 65) durch Givin-Effizienz. Die Givin sind zwar offiziell neutral, aber viele ihrer Schiffe kämpfen auf CIS-Seite. Solide Fregatte mit ausgewogener Bewaffnung. Pro Torpedo 8 Damage, Nachladezeit 20 sek."
Sabaoth Frigate,"Fregatte, unbekannter Hersteller, 275m, 500 Crew, Klasse 3 Hyperraumantrieb, Klasse 18 Backup, 500 SBD, 180 RU, 80 MGLT",4 Heavy Laser Cannons,2 Tractor Beams,/,"50, (...)",40,Front/Oberseite,40,"Obskures Söldner-Design mit unbekanntem Hersteller — vermutlich ältere Piraten- oder Separatisten-Streitkräfte. Nur 4 Heavy Laser Cannons sind absurd wenig für 275m. Der eigentliche Wert liegt in der Geschwindigkeit und dem exzellenten Backup-Hyperantrieb (Klasse 18), ideal für Flucht und lange Verfolgungen."
Lupus-class Missile Frigate,"Raketenfregatte, Free Dac Volunteer Engineering Corps, 255m, 300 Crew, 30 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 460 SBD, 160 RU, 70 MGLT","4 Medium Turbolasers, 12 Light Turbolasers","2 Quad Laser Cannons, 6 Point-Defense Cannons, 2 AD-11F Missile Launch Systems, 2 Heavy Concussion Missile Tubes pro System (18 Missiles pro Tube), 6 Concussion Missile Tubes pro System (18 Missiles pro Tube)",/,"800, (...)",75,Front/Breitseite,75,"Pro schwerer Aufschlagsrakete 9 Damage, Nachladezeit 50 sek. Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Raketen-spezialisierte Fregatte — 4 Medium TL + 12 Light TL sind konventionell schwach, aber das AD-11F System mit insgesamt 144 schweren und normalen Missiles liefert massiven Alpha-Strike. Klein, schnell, effektiv in Staffeln. CIS-Äquivalent zur corellianischen DP-20, aber raketen-fokussierter."
▸ CORVETTES,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
